station_id,station_name,geodivision_id,geodivision_name,X,Y,Z
LGD9,Κερκίνη Σερρών,5,Μακεδονία,23.2,41.1,59
LGJ2,Κέρκυρα,2,Νησιά Ιονίου,19.85388888888889,39.64694444444444,528
LG6F,Κηφισιά,10,Αττική,23.81888888888889,38.06583333333333,315
LG8D,Κιάτο Κορινθίας,9,Πελοπόννησος,22.7,38.0,15
LG42,Κιλκίς,18,Δίκτυο Κιλκίς,22.9,41.0,280
LG3T,Κιλκίς Πόλη,18,Δίκτυο Κιλκίς,22.9,41.0,277
LG9P,Κίτρινη Λίμνη Κοζάνης,17,Δίκτυο Κοζάνης,21.891944444444444,40.39222222222222,664
LGP9,Κλειδί Βοιωτίας,8,Στερεά Ελλάδα,24.0,38.5,252
LGM1,Κλεισούρα,5,Μακεδονία,21.5,40.5,1160
LG7I,Κοζάνη,17,Δίκτυο Κοζάνης,21.75638888888889,40.27333333333333,768
LGW8,Κοίμηση Σερρών,5,Μακεδονία,23.0,43.0,48
LG5H,Κολυμπάρι Χανίων,1,Κρήτη,23.4,35.3,40
LG7K,Κομνηνά Εορδαίας,17,Δίκτυο Κοζάνης,-21.8,40.6,800
LGD2,Κομπότι Άρτας,6,Ήπειρος,21.1,39.1,75
LGR4,Κονιάκος Φωκίδας,8,Στερεά Ελλάδα,22.2,38.6,840
LG3A,Κόνιτσα,6,Ήπειρος,20.744722222222222,40.04805555555556,530
LG5L,Κορδελιό Θεσσαλονίκης,11,Θεσσαλονίκη,22.9,40.7,24
LG7H,Κορινός Πιερίας,5,Μακεδονία,22.6,40.3,18
LG3C,Κορυδαλλός,10,Αττική,23.6,38.0,75
LGU2,Κόρωνος Νάξου,13,Κυκλάδες,25.5,37.1,540
LGX8,Κουφονήσια,13,Κυκλάδες,25.6,36.9,26
LGM7,Κρανίδι Αργολίδας,9,Πελοπόννησος,23.3,37.6,110
LGY0,Κριεζά Ευβοίας,15,Εύβοια,24.3,38.4,119
LG1Q,Κροκεές Ευρώτα,9,Πελοπόννησος,22.6,36.9,241
LG0D,Κρυονέρι Κορινθίας,9,Πελοπόννησος,22.6,37.9,887
LG8S,Κύθηρα,10,Αττική,23.0,36.3,362
LGX0,Κύμη Ευβοίας,15,Εύβοια,24.1,38.63305555555556,259
LGV1,Κυπαρισσία Μεσσηνίας,9,Πελοπόννησος,21.7,37.2,36
LG5A,Κωπαΐδα,8,Στερεά Ελλάδα,22.995,38.45,98
LGX1,Κως,12,Δωδεκάνησα,27.3,36.9,37
LGA5,Λαγκαδάς,11,Θεσσαλονίκη,23.1,40.7,87
LGW9,Λαγκάδια Γορτυνίας,9,Πελοπόννησος,22.0,37.7,970
LGP3,Λαϊλιάς Σερρών,5,Μακεδονία,23.6,41.3,1515
LG92,Λάππα Αχαΐας,9,Πελοπόννησος,21.7,38.2,15
LGL6,Λάρισα,7,Θεσσαλία,22.4,39.6,82
LG8J,Λάρισα - Χάλκη,7,Θεσσαλία,22.543333333333337,39.57083333333334,75
LGD6,Λαύριο Αττικής,10,Αττική,24.1,37.7,3
LG4C,Λεβίδι Αρκαδίας,9,Πελοπόννησος,22.6,37.6,853
LGP0,Λέντας Ηρακλείου,1,Κρήτη,24.9,34.9,15
LG2D,Λέσβος - Αγία Παρασκευή,3,Βόρειο & Ανατολικό Αιγαίο,26.3,39.2,92
LGJ3,Λέσβος - Θερμή,3,Βόρειο & Ανατολικό Αιγαίο,26.49888888888889,39.18222222222222,2
LGI6,Λέσβος (Πέτρα),3,Βόρειο & Ανατολικό Αιγαίο,26.2,39.3,0
LGI7,Λευκάδα,2,Νησιά Ιονίου,20.711666666666666,38.830555555555556,12
LGJ8,Λευκοχώρι Φθιώτιδας,8,Στερεά Ελλάδα,22.7,38.6,0
LGI5,Λήμνος,3,Βόρειο & Ανατολικό Αιγαίο,25.2,39.9,22
LGAA,Λίνδος Ρόδου,12,Δωδεκάνησα,28.1,36.1,45
LG1I,Λουτράκι,9,Πελοπόννησος,23.0,38.0,24
LGV4,Λυκόχεια Αρκαδίας,9,Πελοπόννησος,22.1,37.5,870
LG8G,Μαγούλιανα Αρκαδίας,9,Πελοπόννησος,22.7,37.4,1256
LGE7,Μακρακώμη Φθιώτιδας,8,Στερεά Ελλάδα,22.1,38.9,125
LG0J,Μαλακάσα,10,Αττική,23.8,38.2,365
LG2B,Μαρίνα Αθηνών,10,Αττική,23.666666666666668,37.93333333333333,2
LG45,Μαρκόπουλο Αττικής,10,Αττική,23.919722222222223,37.88,104
LGK0,Μαρούσι Αττικής,10,Αττική,23.8,38.0,235
LGA6,Μαυρολιθάρι Φωκίδας,8,Στερεά Ελλάδα,22.304722222222225,38.706944444444446,1250
LGZ9,Μαυροπηγή Κοζάνης,17,Δίκτυο Κοζάνης,21.7,40.5,642
LGG5,Μεγαλόπολη,9,Πελοπόννησος,22.14,37.4,0
LG7D,Μεγίστη Λαύρα,5,Μακεδονία,24.3825,40.170833333333334,143
LGW1,Μέλανες Νάξου,13,Κυκλάδες,25.5,37.1,160
LG3J,Μεσόβουνο Κοζάνης,17,Δίκτυο Κοζάνης,21.828888888888887,40.638888888888886,781
LGL2,Μεταξάδες Εβρου,4,Θράκη,26.22,41.419999999999995,162
LGD7,Μεταξοχώρι Ηρακλείου,1,Κρήτη,25.1,35.1,415
LGO8,Μέτσοβο,6,Ήπειρος,21.2,39.8,1240
LGS0,Μήλος,13,Κυκλάδες,24.4,36.7,162
LGO7,Μικρή Βίγλα Νάξου,13,Κυκλάδες,25.4,37.0,13
LG3D,Μικρόκαμπος Δράμας,5,Μακεδονία,24.1,41.8,93
LGY5,Μόλυβος,3,Βόρειο & Ανατολικό Αιγαίο,26.2,39.3,290
LG56,Μονεμβάσια,9,Πελοπόννησος,23.0,36.7,4
LG4P,Μονή Τοπλού,1,Κρήτη,22.1,37.6,170
LG9R,Μουζάκι Καρδίτσας,7,Θεσσαλία,21.661666666666665,39.43111111111111,175
LG3S,Μπλεσίβο,9,Πελοπόννησος,22.2,37.5,1545
LG66,Μύκονος,13,Κυκλάδες,25.3,37.4,10
LGK8,Μυρίκη Ευρυτανίας,8,Στερεά Ελλάδα,21.8,38.9,1045
LGM0,Νάξος,13,Κυκλάδες,25.8,37.1,13
LG40,Νάουσα,5,Μακεδονία,22.1,40.6,365
LGN5,Νέα Μάκρη,10,Αττική,24.0,38.1,25
LG7C,Νέα Μηχανιώνα,11,Θεσσαλονίκη,22.9375,40.58527777777778,7
LG4B,Νέα Πέραμος Καβάλας,5,Μακεδονία,24.3,40.8,13
LG0S,Νέα Σάντα Κιλκίς,18,Δίκτυο Κιλκίς,22.9,40.8,119
LGR0,Νέα Σμύρνη Αττικής,10,Αττική,23.716666666666665,37.95,51
LG4O,Νεάπολη Λασιθίου,1,Κρήτη,25.60611111111111,35.25694444444444,265
LG6M,Νέος Καύκασος,5,Μακεδονία,21.5,40.9,594
LGM8,Νέος Κόσμος Αττικής,10,Αττική,23.72,37.95305555555556,80
LGZ4,Νέος Μαρμαράς Χαλκιδικής,5,Μακεδονία,23.780833333333334,40.093333333333334,6
LG7O,Νέσσωνας Τεμπών,7,Θεσσαλία,22.5,39.7,92
LG48,Νευροκόπι,5,Μακεδονία,23.9,41.3,585
LG0F,Νίκαια Αττικής,10,Αττική,6.9,45.8,23
LG1J,Νίσυρος,12,Δωδεκάνησα,27.2,36.6,5
LG1O,Νόησις Θεσσαλονικης,11,Θεσσαλονίκη,23.0,40.6,60
LGS4,Νότιο Πεδίο Κοζάνης,17,Δίκτυο Κοζάνης,21.8,40.5,760
LG0Q,Ξηρολίμνη Κοζάνης,17,Δίκτυο Κοζάνης,21.656666666666666,40.28805555555555,689
LG31,Ορεστιάδα,4,Θράκη,26.5,41.5,28
LG0H,Παιδαγωγική Πειραιά,10,Αττική,6.9,45.8,40
LG2K,Παλαιό Σκυλίτσι Ημαθίας,5,Μακεδονία,22.533333333333335,40.45,4
LG8Q,Παλαιοκούνδουρα Μάνδρας,10,Αττική,23.4,38.1,392
LG36,Παλαιόχωρα,1,Κρήτη,23.7,35.2,3
LG0P,Παλιουριά Γρεβενών,16,Δίκτυο Δεσκάτης,21.72722222222222,39.95111111111111,477
LG6E,Παλλήνη,10,Αττική,23.892777777777777,37.99777777777778,156
LGV6,Παναχαϊκό,9,Πελοπόννησος,21.9,38.3,1588
LGW7,Παξιμάδα,15,Εύβοια,24.5,38.0,215
LG8H,Παπάγου,10,Αττική,23.8,38.0,300
LGK6,Πάπιγκο Ιωαννίνων,6,Ήπειρος,20.7,40.0,920
LGB1,Παραλία Αχαΐας,9,Πελοπόννησος,21.4,38.1,3
LGF6,Παραμυθιά,6,Ήπειρος,20.535833333333336,39.496944444444445,650
